Name	motif family
AHR	AHR
BATF	AP1
BATF3	AP1
FOS	AP1
FOSB	AP1
FOSL1	AP1
FOSL2	AP1
JDP2	AP1
JUN	AP1
JUNB	AP1
JUND	AP1
AR	AR
BCL6	BCL6
BCL6B	BCL6
CEBPA	CEBP
CEBPB	CEBP
CEBPD	CEBP
CEBPE	CEBP
CEBPG	CEBP
DDIT3	CEBP
HLF	CEBP
CAMTA1	CAMTA
CAMTA2	CAMTA
ATF1	ATF-CREB
ATF2	ATF-CREB
ATF3	ATF-CREB
ATF4	ATF-CREB
ATF5	ATF-CREB
ATF6	ATF-CREB
ATF7	ATF-CREB
CREB1	ATF-CREB
CREB3	ATF-CREB
CREB3L2	ATF-CREB
CREB3L4	ATF-CREB
CREB5	ATF-CREB
CREBL2	ATF-CREB
CREM	ATF-CREB
CTCF	CTCF
CUX1	CUT
E2F1	E2F
E2F2	E2F
E2F3	E2F
E2F4	E2F
E2F5	E2F
E2F6	E2F
E2F8	E2F
EGR1	EGR
EGR3	EGR
ESR2	ESR1
ESRRA	ESRRA
ELF1	ETS
ELF2	ETS
ELF4	ETS
ELK1	ETS
ELK3	ETS
ELK4	ETS
ERF	ETS
ERG	ETS
ETS1	ETS
ETS2	ETS
ETV3	ETS
ETV5	ETS
ETV6	ETS
ETV7	ETS
FLI1	ETS
GABPA	ETS
MECOM	EVI1
FOXC1	FOX
FOXJ2	FOX
FOXJ3	FOX
FOXK1	FOX
FOXK2	FOX
FOXM1	FOX
FOXN2	FOX
FOXN3	FOX
FOXO1	FOX
FOXO3	FOX
FOXO4	FOX
FOXP1	FOX
FOXP4	FOX
GATA1	GATA
GATA2	GATA
GFI1	GFI1B
GFI1B	GFI1B
GLI2	GLI
GLI4	GLI
HBP1	HBP1
HES1	HES
HES6	HES
HHEX	HHEX
HIC1	HIC1
HIC2	HIC1
HIF1A	HIF1A
HINFP	HINFP
HOXA10	HOX
HOXA11	HOX
HOXA3	HOX
HOXA4	HOX
HOXA5	HOX
HOXA6	HOX
HOXA7	HOX
HOXA9	HOX
HOXB2	HOX
HOXB3	HOX
HOXB4	HOX
HOXB5	HOX
HOXB6	HOX
HOXB7	HOX
HOXB8	HOX
HOXB9	HOX
HSF1	HSF1
IKZF1	IKZF
IKZF2	IKZF
IKZF3	IKZF
IKZF5	IKZF
IRF1	IRF
IRF2	IRF
IRF3	IRF
IRF4	IRF
IRF5	IRF
IRF8	IRF
IRF9	IRF
IRX1	IRX
IRX3	IRX
IRX5	IRX
IRX6	IRX
KLF1	KLF
KLF10	KLF
KLF11	KLF
KLF12	KLF
KLF13	KLF
KLF16	KLF
KLF2	KLF
KLF3	KLF
KLF4	KLF
KLF6	KLF
KLF7	KLF
KLF9	KLF
TCF7	LEF
TCF7L2	LEF
BACH1	MAF
BACH2	MAF
MAF	MAF
MAFB	MAF
MAFF	MAF
MAFG	MAF
MAFK	MAF
MEF2A	MEF2
MEF2B	MEF2
MEF2D	MEF2
MEIS1	MEIS
MEIS2	MEIS
MITF	MITF
MNX1	MNX1
MYB	MYB
MYBL2	MYB
CLOCK	MYC-Ebox
TFE3	MYC-Ebox
ARNT	MYC-Ebox
ARNTL	MYC-Ebox
ARNTL2	MYC-Ebox
ASCL2	MYC-Ebox
BHLHE40	MYC-Ebox
BHLHE41	MYC-Ebox
MAX	MYC-Ebox
MLX	MYC-Ebox
MLXIP	MYC-Ebox
MNT	MYC-Ebox
MXD1	MYC-Ebox
MXD3	MYC-Ebox
MXD4	MYC-Ebox
MXI1	MYC-Ebox
MYC	MYC-Ebox
MYCN	MYC-Ebox
TFAP4	MYC-Ebox
TFEB	MYC-Ebox
TFEC	MYC-Ebox
USF1	MYC-Ebox
USF2	MYC-Ebox
USF3	MYC-Ebox
NFIA	NF1
NFIB	NF1
NFIC	NF1
