geneID	logFC
AKR1C2	6.53581956194752
EVA1A	5.33825786067388
CALHM5	5.33077036540029
POPDC3	5.22268052239564
SIX2	5.15154157007764
HMOX1	5.01105062703142
PITX2	4.90689289675906
HSPB8	4.75307255638379
NLGN1	4.75060590271376
ZNF300	4.73478880626813
TBX2	4.5846408216621
PDLIM4	4.57113028335973
NRG1	4.55630454678198
PCDHGA11	4.50989871224541
PCDH10	4.46175977647093
PTPRQ	4.43385184967463
LAMC2	4.37940013869595
KRT34	4.34421456487663
MSC	4.33395082220916
SASH1	4.30611290586025
FEZ1	4.25672729655125
KRTAP2-3	4.24489736271225
ARHGEF10L	4.22935428247395
TBX15	4.22096933948994
FLRT2	4.19874180152295
SLC7A11	4.15267812443051
CNTN3	4.14830477535701
CXCL5	4.13026363341881
B4GALNT1	4.12117919490912
P4HA3	4.07880373340883
TFPI2	4.07474541527144
CYP27A1	4.07416672812978
ANK2	4.06562886456042
TENM4	4.06535847194642
EML1	4.0449637700108
MRGPRF	4.02114931167565
TMEM54	4.01229371028135
GNG11	4.00715568590977
SAA1	3.98844530963678
NQO1	3.96795401206824
MAP2	3.96082876295989
ZNF205	3.96000361046177
PTPRK	3.91076065439999
PLCE1	3.90012394607761
RHOD	3.8840730698661
NALF1	3.88195171250479
ROBO1	3.87530218230044
IL7R	3.8550485277266
RASIP1	3.80760272321798
FAT4	3.78702058951741
CES1	3.78208671379015
CDH13	3.76753967899251
SGCD	3.75973817263535
HTRA3	3.75425816370193
TENM3	3.74431020132601
RGL1	3.72814212536266
CD248	3.70527605775904
RRAS2	3.70152261804468
IL6	3.69962194941965
NID2	3.69349863503476
KIR3DL2	3.6881944733767
ESM1	3.67376833415438
ADIRF	3.67180348516947
RND3	3.67159615693368
ME1	3.66816170715276
BDNF	3.6677234639633
RGS20	3.6646957642325
SRPX2	3.66274412553564
EFNB2	3.65950976063388
PLCB4	3.65183189009894
VEGFC	3.65104846618693
EGFLAM	3.64522419639951
ADGRG6	3.63454143371664
CDH6	3.63057669573942
ZNF366	3.62437677283386
PALLD	3.62309183030427
TRPM4	3.62289932591645
FRMD6	3.62272156635322
EPGN	3.62173915262299
WNT5B	3.6137861287554
PTPRM	3.6081568117435
NFASC	3.60360385275642
ROR1	3.57608451295279
ANGPTL4	3.56940537230425
ZNF595	3.566496460466
PKP1	3.56477178924357
SLIT2	3.56203224179178
FMN2	3.55877793337319
CXCL6	3.55628162039468
ARSJ	3.55297745266191
LILRA6	3.54751571530192
FGF2	3.54572085903572
HOXC8	3.53737160919319
APCDD1L	3.52856522146996
CEMIP	3.52747142764571
RAPH1	3.52739933485001
NCF2	3.52198718502152
FBLN1	3.52081515355196
WNK4	3.50564795723509
STAC	3.49986302585164
ANKRD1	3.49084712850778
FNDC4	3.4889514447602
CXCL8	3.48540770665733
FLNC	3.47962165109452
PLOD2	3.47944657512816
S100A16	3.47298305798611
TACC2	3.47143528763051
ADAMTS12	3.47038373373477
EGFR	3.46624165587034
ARHGAP29	3.4652296782227
NPAS2	3.44760834697993
LILRB3	3.44726731999167
CREB3L1	3.44498686823561
HOXC9	3.43846987971482
KLF12	3.43394459523205
LIMCH1	3.43127962026139
HHIPL1	3.43046728086663
LTBP2	3.430407691809
EBF1	3.42887804918889
CLMP	3.42816948809901
TEAD1	3.42267946937639
TGFBI	3.42089568091796
NRP1	3.42011045191376
ABI3BP	3.41669582589216
DGKI	3.41530967535673
DSEL	3.40548867434562
MYLK	3.40522801622005
SERPINE1	3.39903866576817
CRIP2	3.3976421760962
HHIP	3.39315431319107
EBF2	3.39089556039314
HGD	3.39071891567677
RCN3	3.37282980938837
MFAP5	3.37220442038199
GAS6	3.36837861824836
BNC1	3.36530765612851
CCN1	3.36260293353243
IL19	3.36136954924889
AMOTL2	3.35912524952341
NDN	3.35852778982924
AHNAK2	3.35783468461605
KIAA1217	3.35713430858212
AXL	3.3567420586367
SDC3	3.35377085256865
TJP1	3.34777159229623
COL6A3	3.34290951676053
OLR1	3.33865492575272
ATP10A	3.33751002006016
OSGIN1	3.32708841386667
ULBP2	3.32357419650917
FABP4	3.32356351519804
LOXL1	3.32165517758723
KCNE4	3.32026327202063
MPDZ	3.30946404357295
